,precision,recall,f1-score,support
0,0.7772160431412201,0.7686666666666667,0.7729177140941846,9000.0
1,0.7711584963728292,0.7796421824647183,0.7753771343316572,8999.0
accuracy,0.7741541196733152,0.7741541196733152,0.7741541196733152,0.7741541196733152
macro avg,0.7741872697570247,0.7741544245656925,0.7741474242129209,17999.0
weighted avg,0.7741874380315612,0.7741541196733152,0.7741473558918965,17999.0
